# NDIR Monitor — CSV Recording
# Port   : COM14
# Started: 2026-05-21T07:24:44.964Z
# RAW  fields: type,timestamp,phase,ch1_raw,ch2_raw,ch3_raw,ch1_filt,ch2_filt,ch3_filt,ema1,ema2,ema3,flag
# PROC fields: type,timestamp,gas_flag,raw_val1,raw_val2,ratio,ratio_filt,baseline,delta1,delta2,response1,response2,ema_out
RAW,0.750,0,582,583,335,584,584,468,588.3,587.3,643.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,0.875,1,581,584,609,582,584,609,586.7,586.5,635.1,0
RAW,1.000,0,582,580,710,582,583,696,585.5,585.6,650.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,1.125,1,579,581,438,582,582,609,584.6,584.7,640.00,0
RAW,1.250,0,581,581,625,581,581,609,583.7,583.8,632.2,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,1.375,1,579,583,739,581,581,625,583.1,583.1,630.4,0
RAW,1.500,0,581,580,381,581,581,625,582.5,582.6,629.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,1.625,1,579,581,409,579,581,438,581.7,582.2,581.3,0
RAW,1.750,0,580,580,819,580,581,625,581.2,581.9,592.2,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,1.875,1,579,579,673,579,580,673,580.7,581.4,612.4,0
RAW,2.000,0,580,579,356,580,580,409,580.5,581.1,561.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,2.125,1,578,578,629,579,579,629,580.1,580.5,578.4,0
RAW,2.250,0,580,579,677,580,579,673,580.1,580.2,602.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,2.375,1,578,578,389,579,579,629,579.8,579.9,608.8,0
RAW,2.500,0,580,579,698,580,579,629,579.9,579.7,613.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,2.625,1,578,580,762,578,579,677,579.4,579.5,629.6,0
RAW,2.750,0,580,578,321,580,579,677,579.6,579.4,641.5,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,2.875,1,577,578,435,578,578,435,579.2,579.00,589.9,0
RAW,3.000,0,579,579,827,579,579,698,579.1,579.00,616.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3.125,1,577,577,641,578,578,641,578.8,578.8,622.9,0
RAW,3.250,0,576,576,380,577,578,435,578.4,578.6,575.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3.375,1,577,580,669,577,578,641,578.00,578.4,592.2,0
RAW,3.500,0,580,580,623,577,579,641,577.8,578.6,604.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3.625,1,580,579,368,577,579,623,577.6,578.7,609.1,0
RAW,3.750,0,580,580,718,580,580,623,578.2,579.00,612.5,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3.875,1,577,576,757,580,580,669,578.6,579.3,626.7,0
RAW,4.000,0,576,575,308,580,579,623,579.00,579.2,625.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.125,1,576,579,443,577,579,443,578.5,579.1,580.1,0
RAW,4.250,0,581,580,830,577,579,718,578.1,579.1,614.5,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.375,1,580,583,613,577,579,613,577.8,579.1,614.2,0
RAW,4.500,0,580,576,414,580,579,443,578.4,579.1,571.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.625,1,573,575,680,580,579,613,578.8,579.00,581.8,0
RAW,4.750,0,578,577,588,580,577,613,579.1,578.5,589.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.875,1,576,577,363,578,577,588,578.8,578.2,589.2,0
RAW,5.000,0,578,578,737,578,577,588,578.6,577.9,588.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.125,1,578,579,755,578,577,680,578.5,577.6,611.7,0
RAW,5.250,0,577,576,300,578,577,588,578.3,577.5,605.8,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.375,1,576,576,477,577,577,477,578.00,577.4,573.6,0
RAW,5.500,0,579,578,817,578,578,737,578.00,577.5,614.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.625,1,577,578,592,577,578,592,577.8,577.6,608.8,0
RAW,5.750,0,580,578,440,577,578,477,577.6,577.7,575.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.875,1,579,581,693,579,578,592,577.9,577.8,579.9,0
RAW,6.000,0,578,576,554,579,578,592,578.2,577.8,582.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.125,1,575,577,360,578,578,554,578.1,577.9,575.7,0
RAW,6.250,0,580,579,758,579,578,554,578.4,577.9,570.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.375,1,575,573,744,578,577,693,578.3,577.7,601.00,0
RAW,6.500,0,575,575,294,575,576,554,577.5,577.3,589.2,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.625,1,576,578,487,575,577,487,576.8,577.2,563.7,0
RAW,6.750,0,580,581,815,576,578,744,576.6,577.4,608.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.875,1,576,575,565,576,575,565,576.5,576.8,597.8,0
RAW,7.000,0,577,577,464,576,577,487,576.4,576.8,570.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.125,1,576,577,700,576,577,565,576.3,576.9,568.8,0
RAW,7.250,0,579,577,529,577,577,565,576.4,576.9,567.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.375,1,577,577,361,577,577,529,576.6,576.9,558.2,0
RAW,7.500,0,578,578,773,577,577,529,576.7,577.00,550.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.625,1,575,576,735,577,577,700,576.8,577.00,588.1,0
RAW,7.750,0,578,576,291,578,577,529,577.1,577.00,573.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.875,1,576,578,496,577,577,496,577.1,577.00,554.00,0
RAW,8.000,0,578,576,808,578,576,735,577.3,576.7,599.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.125,1,577,576,558,577,576,558,577.2,576.6,588.9,0
RAW,8.250,0,577,576,467,577,576,496,577.2,576.4,565.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.375,1,576,578,705,577,576,558,577.1,576.3,563.8,0
RAW,8.500,0,578,576,524,577,576,558,577.1,576.2,562.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.625,1,576,577,360,577,576,524,577.1,576.2,552.8,0
RAW,8.750,0,579,579,774,577,577,524,577.1,576.4,545.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
