# NDIR Monitor — CSV Recording
# Port   : COM14
# Started: 2026-05-21T13:53:01.565Z
# RAW  fields: type,timestamp,phase,ch1_raw,ch2_raw,ch3_raw,ch1_filt,ch2_filt,ch3_filt,ema1,ema2,ema3,flag
# PROC fields: type,timestamp,gas_flag,raw_val1,raw_val2,ratio,ratio_filt,baseline,delta1,delta2,response1,response2,ema_out
RAW,3287.375,1,248,248,265,248,248,265,248.00,248.00,265.3,0
RAW,3287.500,0,248,248,266,248,248,265,248.00,248.00,265.2,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3287.625,1,248,248,265,248,248,265,248.00,248.00,265.2,0
RAW,3287.750,0,248,248,265,248,248,265,248.00,248.00,265.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3287.875,1,248,248,265,248,248,265,248.00,248.00,265.1,0
RAW,3288.000,0,248,248,265,248,248,265,248.00,248.00,265.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3288.125,1,248,248,266,248,248,265,248.00,248.00,265.1,0
RAW,3288.250,0,248,248,265,248,248,265,248.00,248.00,265.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3288.375,1,248,248,265,248,248,265,248.00,248.00,265.00,0
RAW,3288.500,0,248,248,266,248,248,265,248.00,248.00,265.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3288.625,1,248,248,266,248,248,266,248.00,248.00,265.3,0
RAW,3288.750,0,248,248,265,248,248,265,248.00,248.00,265.2,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3288.875,1,248,248,265,248,248,265,248.00,248.00,265.2,0
RAW,3289.000,0,248,249,266,248,248,266,248.00,248.00,265.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3289.125,1,248,247,265,248,248,265,248.00,248.00,265.3,0
RAW,3289.250,0,248,248,265,248,248,265,248.00,248.00,265.2,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3289.375,1,248,247,265,248,248,265,248.00,248.00,265.2,0
RAW,3289.500,0,248,248,265,248,248,265,248.00,248.00,265.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3289.625,1,248,248,265,248,248,265,248.00,248.00,265.1,0
RAW,3289.750,0,248,248,266,248,248,265,248.00,248.00,265.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3289.875,1,248,247,266,248,248,265,248.00,248.00,265.00,0
RAW,3290.000,0,248,248,265,248,248,265,248.00,248.00,265.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3290.125,1,248,248,265,248,248,265,248.00,248.00,265.00,0
RAW,3290.250,0,248,248,265,248,248,265,248.00,248.00,265.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
