# NDIR Monitor — CSV Recording
# Port   : COM14
# Started: 2026-05-21T12:12:16.659Z
# RAW  fields: type,timestamp,phase,ch1_raw,ch2_raw,ch3_raw,ch1_filt,ch2_filt,ch3_filt,ema1,ema2,ema3,flag
# PROC fields: type,timestamp,gas_flag,raw_val1,raw_val2,ratio,ratio_filt,baseline,delta1,delta2,response1,response2,ema_out
RAW,2.125,1,264,264,266,265,265,266,264.6,264.8,266.00,0
RAW,2.250,0,265,265,266,265,265,266,264.7,264.8,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,2.375,1,264,265,266,265,265,266,264.8,264.9,266.00,0
RAW,2.500,0,264,264,266,264,265,266,264.6,264.9,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,2.625,1,264,264,266,264,264,266,264.4,264.7,266.00,0
RAW,2.750,0,265,265,266,264,265,266,264.3,264.8,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,2.875,1,265,264,266,264,264,266,264.2,264.6,266.00,0
RAW,3.000,0,264,264,266,264,264,266,264.2,264.4,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3.125,1,265,265,266,265,264,266,264.4,264.3,266.00,0
RAW,3.250,0,265,264,266,265,264,266,264.5,264.2,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3.375,1,264,264,266,265,264,266,264.7,264.2,266.00,0
RAW,3.500,0,265,265,266,265,264,266,264.7,264.1,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3.625,1,265,265,266,265,265,266,264.8,264.4,266.00,0
RAW,3.750,0,264,264,266,265,264,266,264.9,264.3,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,3.875,1,264,264,266,264,264,266,264.6,264.2,266.00,0
RAW,4.000,0,265,265,266,265,265,266,264.7,264.4,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.125,1,264,264,266,264,264,266,264.5,264.3,266.00,0
RAW,4.250,0,264,264,265,264,264,266,264.4,264.2,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.375,1,265,265,266,264,264,266,264.3,264.2,266.00,0
RAW,4.500,0,265,264,266,265,264,266,264.5,264.1,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.625,1,264,264,266,264,264,266,264.4,264.1,266.00,0
RAW,4.750,0,265,265,266,265,264,266,264.5,264.1,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.875,1,265,265,266,265,265,266,264.6,264.3,266.00,0
RAW,5.000,0,264,264,265,265,264,266,264.7,264.2,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.125,1,264,265,266,264,265,266,264.5,264.4,266.00,0
RAW,5.250,0,265,266,266,265,265,266,264.7,264.6,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.375,1,265,264,266,265,265,266,264.7,264.7,266.00,0
RAW,5.500,0,265,265,266,265,265,266,264.8,264.8,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.625,1,265,265,266,265,265,266,264.9,264.8,266.00,0
RAW,5.750,0,264,264,266,265,265,266,264.9,264.9,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.875,1,264,264,265,265,264,266,264.9,264.6,266.00,0
RAW,6.000,0,265,265,266,265,265,266,264.9,264.7,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.125,1,265,265,266,265,265,266,265.00,264.8,266.00,0
RAW,6.250,0,264,264,265,264,264,266,264.7,264.6,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.375,1,265,265,266,265,265,266,264.8,264.7,266.00,0
RAW,6.500,0,265,265,266,265,265,266,264.8,264.8,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.625,1,264,264,266,265,265,266,264.9,264.8,266.00,0
RAW,6.750,0,265,265,266,265,265,266,264.9,264.9,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.875,1,265,265,266,265,265,266,264.9,264.9,266.00,0
RAW,7.000,0,264,264,266,265,265,266,264.9,264.9,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.125,1,264,264,265,264,264,266,264.7,264.7,266.00,0
RAW,7.250,0,265,265,266,265,265,266,264.8,264.8,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.375,1,265,265,266,265,265,266,264.8,264.8,266.00,0
RAW,7.500,0,264,264,265,264,264,266,264.6,264.6,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.625,1,265,265,266,265,265,266,264.7,264.7,266.00,0
RAW,7.750,0,265,264,266,265,265,266,264.8,264.8,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.875,1,264,264,266,265,264,266,264.8,264.6,266.00,0
RAW,8.000,0,265,265,266,265,264,266,264.9,264.4,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.125,1,265,265,266,265,265,266,264.9,264.6,266.00,0
RAW,8.250,0,264,264,265,265,264,266,264.9,264.4,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.375,1,264,264,265,264,264,266,264.7,264.3,266.00,0
RAW,8.500,0,265,265,266,265,265,266,264.8,264.5,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.625,1,264,264,266,264,264,266,264.6,264.4,266.00,0
RAW,8.750,0,264,264,266,264,264,266,264.4,264.3,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.875,1,265,265,266,264,264,266,264.3,264.2,266.00,0
RAW,9.000,0,264,264,266,264,264,266,264.2,264.2,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.125,1,264,264,266,264,264,266,264.2,264.1,266.00,0
RAW,9.250,0,265,265,266,264,264,266,264.1,264.1,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.375,1,265,265,266,265,265,266,264.4,264.3,266.00,0
RAW,9.500,0,264,264,265,264,264,266,264.3,264.2,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.625,1,264,264,265,264,264,266,264.2,264.2,266.00,0
RAW,9.750,0,265,265,266,265,265,266,264.4,264.4,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.875,1,264,264,266,264,264,266,264.3,264.3,266.00,0
RAW,10.000,0,264,265,266,264,264,266,264.2,264.2,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,10.125,1,265,265,266,264,265,266,264.2,264.4,266.00,0
RAW,10.250,0,264,264,266,264,265,266,264.1,264.6,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,10.375,1,264,264,266,264,264,266,264.1,264.4,266.00,0
RAW,10.500,0,265,265,266,264,265,266,264.1,264.6,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,10.625,1,265,265,266,265,265,266,264.3,264.7,266.00,0
RAW,10.750,0,264,264,265,264,264,266,264.2,264.5,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,10.875,1,264,265,266,264,265,266,264.2,264.6,266.00,0
RAW,11.000,0,265,265,266,265,265,266,264.4,264.7,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,11.125,1,264,264,266,264,265,266,264.3,264.8,266.00,0
RAW,11.250,0,265,265,266,264,265,266,264.2,264.8,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,11.375,1,265,265,266,265,265,266,264.4,264.9,266.00,0
RAW,11.500,0,264,264,266,265,265,266,264.6,264.9,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
