# NDIR Monitor — CSV Recording
# Port   : COM14
# Started: 2026-05-21T12:54:16.518Z
# RAW  fields: type,timestamp,phase,ch1_raw,ch2_raw,ch3_raw,ch1_filt,ch2_filt,ch3_filt,ema1,ema2,ema3,flag
# PROC fields: type,timestamp,gas_flag,raw_val1,raw_val2,ratio,ratio_filt,baseline,delta1,delta2,response1,response2,ema_out
RAW,8.000,0,265,265,266,265,265,266,265.00,265.00,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.125,1,265,265,266,265,265,266,265.00,265.00,266.00,0
RAW,8.250,0,265,265,266,265,265,266,265.00,265.00,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.375,1,265,265,266,265,265,266,265.00,265.00,266.00,0
RAW,8.500,0,265,265,266,265,265,266,265.00,265.00,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.625,1,265,265,267,265,265,266,265.00,265.00,266.00,0
RAW,8.750,0,265,265,267,265,265,266,265.00,265.00,266.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.875,1,265,265,266,265,265,266,265.00,265.00,266.00,0
RAW,9.000,0,265,265,267,265,265,267,265.00,265.00,266.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.125,1,265,265,266,265,265,267,265.00,265.00,266.4,0
RAW,9.250,0,265,265,267,265,265,267,265.00,265.00,266.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.375,1,265,265,266,265,265,266,265.00,265.00,266.4,0
RAW,9.500,0,265,265,267,265,265,267,265.00,265.00,266.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.625,1,265,265,267,265,265,267,265.00,265.00,266.7,0
RAW,9.750,0,265,265,266,265,265,267,265.00,265.00,266.8,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.875,1,265,265,266,265,265,266,265.00,265.00,266.6,0
RAW,10.000,0,265,265,267,265,265,267,265.00,265.00,266.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,10.125,1,265,265,267,265,265,267,265.00,265.00,266.8,0
RAW,10.250,0,265,265,266,265,265,266,265.00,265.00,266.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,10.375,1,265,265,266,265,265,266,265.00,265.00,266.4,0
RAW,10.500,0,265,265,266,265,265,266,265.00,265.00,266.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,10.625,1,265,265,266,265,265,266,265.00,265.00,266.2,0
RAW,10.750,0,265,265,266,265,265,266,265.00,265.00,266.2,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,10.875,1,265,265,266,265,265,266,265.00,265.00,266.1,0
RAW,11.000,0,265,265,267,265,265,266,265.00,265.00,266.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,11.125,1,265,265,267,265,265,266,265.00,265.00,266.1,0
RAW,11.250,0,265,265,266,265,265,266,265.00,265.00,266.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,11.375,1,265,265,267,265,265,267,265.00,265.00,266.3,0
RAW,11.500,0,265,265,267,265,265,267,265.00,265.00,266.5,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,11.625,1,265,265,266,265,265,267,265.00,265.00,266.6,0
RAW,11.750,0,265,265,266,265,265,266,265.00,265.00,266.5,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,11.875,1,265,265,266,265,265,266,265.00,265.00,266.3,0
RAW,12.000,0,265,265,266,265,265,266,265.00,265.00,266.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,12.125,1,265,265,267,265,265,266,265.00,265.00,266.2,0
RAW,12.250,0,265,265,266,265,265,266,265.00,265.00,266.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,12.375,1,265,265,267,265,265,266,265.00,265.00,266.1,0
RAW,12.500,0,265,265,266,265,265,266,265.00,265.00,266.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,12.625,1,265,265,267,265,265,267,265.00,265.00,266.3,0
RAW,12.750,0,265,265,267,265,265,267,265.00,265.00,266.5,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,12.875,1,265,265,266,265,265,267,265.00,265.00,266.6,0
RAW,13.000,0,265,265,267,265,265,267,265.00,265.00,266.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,13.125,1,265,265,267,265,265,267,265.00,265.00,266.8,0
RAW,13.250,0,265,265,266,265,265,267,265.00,265.00,266.8,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,13.375,1,265,265,266,265,265,266,265.00,265.00,266.6,0
RAW,13.500,0,265,265,267,265,265,267,265.00,265.00,266.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,13.625,1,265,265,267,265,265,267,265.00,265.00,266.8,0
RAW,13.750,0,265,265,266,265,265,266,265.00,265.00,266.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,13.875,1,265,265,267,265,265,267,265.00,265.00,266.7,0
RAW,14.000,0,265,265,266,265,265,267,265.00,265.00,266.8,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,14.125,1,265,265,267,265,265,267,265.00,265.00,266.8,0
RAW,14.250,0,265,265,267,265,265,267,265.00,265.00,266.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
