# NDIR Monitor — CSV Recording
# Port   : COM14
# Started: 2026-05-21T10:01:03.813Z
# RAW  fields: type,timestamp,phase,ch1_raw,ch2_raw,ch3_raw,ch1_filt,ch2_filt,ch3_filt,ema1,ema2,ema3,flag
# PROC fields: type,timestamp,gas_flag,raw_val1,raw_val2,ratio,ratio_filt,baseline,delta1,delta2,response1,response2,ema_out
RAW,6.000,0,573,570,541,573,573,541,572.5,572.4,555.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.125,1,570,572,626,572,573,550,572.4,572.5,554.2,0
RAW,6.250,0,574,573,499,573,573,541,572.5,572.7,550.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.375,1,571,572,485,571,572,517,572.2,572.5,542.4,0
RAW,6.500,0,573,572,650,573,572,541,572.4,572.4,542.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.625,1,572,573,610,572,572,610,572.3,572.3,559.00,0
RAW,6.750,0,573,572,460,573,572,499,572.5,572.2,544.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.875,1,571,573,540,572,572,540,572.3,572.2,543.00,0
RAW,7.000,0,572,571,633,572,572,610,572.3,572.1,559.8,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.125,1,570,572,534,572,572,540,572.2,572.1,554.8,0
RAW,7.250,0,574,573,532,572,572,534,572.1,572.1,549.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.375,1,570,573,619,571,573,540,571.9,572.3,547.2,0
RAW,7.500,0,575,574,521,572,573,534,571.9,572.5,543.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.625,1,572,572,484,572,573,532,571.9,572.6,540.9,0
RAW,7.750,0,573,571,641,573,573,532,572.2,572.7,538.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,7.875,1,571,572,622,572,572,619,572.1,572.5,558.8,0
RAW,8.000,0,573,571,450,573,572,521,572.4,572.4,549.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.125,1,571,574,534,572,572,534,572.3,572.3,545.5,0
RAW,8.250,0,575,574,640,573,572,622,572.5,572.2,564.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.375,1,572,572,535,572,572,535,572.3,572.2,557.2,0
RAW,8.500,0,573,573,526,573,573,534,572.5,572.4,551.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.625,1,571,572,615,572,573,535,572.4,572.5,547.3,0
RAW,8.750,0,571,570,530,572,572,535,572.3,572.4,544.2,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,8.875,1,571,573,481,571,572,530,572.00,572.3,540.7,0
RAW,9.000,0,574,574,634,571,573,530,571.7,572.5,538.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,9.125,1,572,574,631,571,573,615,571.5,572.6,557.3,0
RAW,9.250,0,573,573,457,572,573,530,571.7,572.7,550.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
