type,time,bl,act_diff,ref_diff,ratio_raw,ratio_filt,baseline,rsp_raw,rsp_filt,abs_raw,abs_filt,temp_avg
PROC,285.875,1,116,63,1.8413,1.3559,1.3582,+35.57,-0.17,-0.3020,0.0453,416
PROC,286.875,1,88,50,1.7600,1.4367,1.3582,+29.58,+5.78,-0.2577,-0.0153,471
PROC,287.125,1,112,88,1.2727,1.4039,1.3582,-6.29,+3.37,0.0650,0.0008,407
PROC,288.125,1,67,67,1.0000,1.3231,1.3582,-26.37,-2.58,0.3038,0.0614,522
PROC,288.375,1,81,79,1.0253,1.2636,1.3582,-24.51,-6.97,0.2793,0.1050,457
PROC,289.375,1,77,47,1.6383,1.3385,1.3582,+20.62,-1.45,-0.1870,0.0466,561
PROC,289.625,1,42,54,0.7778,1.2264,1.3582,-42.73,-9.71,0.5435,0.1460,498
PROC,289.875,1,46,48,0.9583,1.1728,1.3582,-29.44,-13.65,0.3452,0.1858,383
PROC,290.375,1,91,43,2.1163,1.3615,1.3582,+55.82,+0.24,-0.4364,0.0614,562
PROC,290.625,1,114,56,2.0357,1.4963,1.3582,+49.88,+10.17,-0.3993,-0.0307,584
PROC,291.625,1,88,57,1.5439,1.5058,1.3582,+13.67,+10.87,-0.1280,-0.0502,539
PROC,291.875,1,119,78,1.5256,1.5098,1.3582,+12.33,+11.16,-0.1161,-0.0634,593
PROC,292.875,1,77,70,1.1000,1.4278,1.3582,-19.01,+5.13,0.2101,-0.0087,503
PROC,293.125,1,100,93,1.0753,1.3573,1.3582,-20.83,-0.06,0.2325,0.0396,563
PROC,294.125,1,58,57,1.0175,1.2894,1.3582,-25.08,-5.07,0.2868,0.0890,474
PROC,294.375,1,81,77,1.0519,1.2419,1.3582,-22.55,-8.56,0.2541,0.1220,529
PROC,295.375,1,93,41,2.2683,1.4472,1.3582,+67.01,+6.55,-0.5019,-0.0028,445
PROC,295.625,1,46,56,0.8214,1.3220,1.3582,-39.52,-2.66,0.4925,0.0963,501
PROC,295.875,1,53,51,1.0392,1.2655,1.3582,-23.49,-6.83,0.2661,0.1303,617
PROC,296.625,1,117,61,1.9180,1.3960,1.3582,+41.22,+2.78,-0.3418,0.0359,421
PROC,297.625,1,92,48,1.9167,1.5001,1.3582,+41.12,+10.45,-0.3411,-0.0395,459
PROC,297.875,1,117,79,1.4810,1.4963,1.3582,+9.04,+10.17,-0.0865,-0.0489,408
PROC,298.875,1,84,61,1.3770,1.4724,1.3582,+1.39,+8.41,-0.0138,-0.0419,506
PROC,299.125,1,101,90,1.1222,1.4024,1.3582,-17.37,+3.25,0.1903,0.0045,438
PROC,300.125,1,65,66,0.9848,1.3189,1.3582,-27.49,-2.89,0.3187,0.0674,522
PROC,300.375,1,78,75,1.0400,1.2631,1.3582,-23.43,-7.00,0.2654,0.1070,458
