 RAW,4.000,1,684,540,996,369,281,492,383.0,313.9,485.9,0
 RAW,4.125,0,553,431,525,553,431,525,425.5,343.1,495.7,0
 RAW,4.250,1,80,91,82,369,281,177,411.3,327.6,416.0,0
 RAW,4.375,0,531,448,995,531,431,525,441.3,353.5,443.3,0
 RAW,4.500,1,707,548,836,553,448,836,469.2,377.1,541.5,0
 RAW,4.625,0,193,161,52,531,431,525,484.6,390.6,537.3,0
 RAW,4.750,1,279,259,520,279,259,520,433.2,357.7,533.0,0
 RAW,4.875,0,773,595,974,531,448,836,457.7,380.3,608.8,0
 RAW,5.000,1,344,263,144,344,263,520,429.3,350.9,586.6,0
 RAW,5.125,0,111,125,188,279,259,188,391.7,328.0,486.9,0
 RAW,5.250,1,692,541,994,344,263,520,379.8,311.7,495.2,0
 RAW,5.375,0,537,415,486,537,415,486,419.1,337.5,492.9,0
 RAW,5.500,1,76,88,89,344,263,188,400.3,318.9,416.7,0
 RAW,5.625,0,551,459,997,537,415,486,434.5,342.9,434.0,0
 RAW,5.750,1,717,548,814,551,459,814,463.6,371.9,529.0,0
 RAW,5.875,0,188,150,56,537,415,486,482.0,382.7,518.3,0
 RAW,6.000,1,298,270,546,298,270,546,436.0,354.5,525.2,0
 RAW,6.125,0,775,587,970,551,459,814,464.7,380.6,597.4,0
 RAW,6.250,1,340,255,154,340,270,546,433.5,353.0,584.5,0
 RAW,6.375,0,112,130,195,298,255,195,399.7,328.5,487.2,0
 RAW,6.500,1,718,562,995,340,270,546,384.7,313.9,501.9,0
 RAW,6.625,0,609,647,287,609,562,287,440.8,375.9,448.2,0
 PROC,6.625,0,56,62,0.9032,1.2333,1.0000,+0.00,+0.00,0.1017,-0.1978,474
 RAW,6.750,1,57,66,50,340,255,195,415.6,345.7,384.9,0
 RAW,6.875,0,914,720,1021,609,562,287,464.0,399.8,360.4,1
 PROC,6.875,0,48,54,0.8889,1.1644,1.0000,+0.00,+0.00,0.1176,-0.1347,372
 RAW,7.000,1,912,899,841,718,647,841,527.5,461.6,480.5,0
 RAW,7.125,0,48,64,27,609,647,287,547.8,507.9,432.2,0
 PROC,7.125,0,20,46,0.4348,1.0185,1.0000,+0.00,+0.00,0.8327,0.0587,456
 RAW,7.250,1,466,429,824,466,429,824,527.4,488.2,530.1,0
 RAW,7.375,0,989,973,989,912,720,841,623.5,546.1,607.8,0
 PROC,7.375,0,96,58,1.6552,1.1458,1.0000,+0.00,+0.00,-0.4935,-0.0517,568
 RAW,7.500,1,142,293,40,466,429,824,584.2,516.9,661.9,0
 RAW,7.625,0,94,114,173,142,293,173,473.6,460.9,539.7,0
 PROC,7.625,0,111,56,1.9821,1.3131,1.0000,+0.00,+0.00,-0.6587,-0.1731,600
 RAW,7.750,1,987,982,1019,466,429,824,471.7,452.9,610.7,1
 RAW,7.875,0,468,521,71,468,521,173,470.8,469.9,501.3,0
 RAW,8.000,1,49,67,74,142,293,74,388.6,425.7,394.5,0
 RAW,8.125,0,982,789,1019,468,521,173,408.4,449.5,339.1,1
 RAW,8.250,1,864,854,744,864,789,744,522.3,534.4,440.3,0
 RAW,8.375,0,53,58,28,468,521,74,508.7,531.0,348.8,0
 RAW,8.500,1,556,512,990,556,512,744,520.6,526.3,447.6,0
 RAW,8.625,0,983,966,978,864,789,978,606.4,592.0,580.2,0
 PROC,8.625,0,86,65,1.3231,1.3151,1.0000,+0.00,+0.00,-0.2781,-0.1941,513
 RAW,8.750,1,84,256,40,556,512,744,593.8,572.0,621.1,0
 RAW,8.875,0,127,143,236,127,256,236,477.1,493.0,524.8,0
 PROC,8.875,0,116,79,1.4684,1.3457,1.0000,+0.00,+0.00,-0.3795,-0.2312,572
 RAW,9.000,1,986,978,1015,556,512,978,496.8,497.7,638.1,1
 RAW,9.125,0,455,513,55,455,513,236,486.4,501.6,537.6,0
 RAW,9.250,1,47,68,70,127,256,70,396.5,440.2,420.7,0
 RAW,9.375,0,980,792,1020,455,513,236,411.1,458.4,374.5,1
 RAW,9.500,1,866,857,738,866,792,738,524.9,541.8,465.4,0
 RAW,9.625,0,54,59,30,455,513,70,507.4,534.6,366.5,0
 RAW,9.750,1,546,499,977,546,499,738,517.0,525.7,459.4,0
 RAW,9.875,0,986,965,978,866,792,977,604.3,592.3,588.8,0
 PROC,9.875,0,87,67,1.2985,1.3363,1.0000,+0.00,+0.00,-0.2597,-0.2369,523
 RAW,10.000,1,71,240,41,546,499,738,589.7,568.9,626.1,0
 RAW,10.125,0,129,149,242,129,240,242,474.5,486.7,530.1,0
 PROC,10.125,0,115,82,1.4024,1.3495,1.0000,+0.00,+0.00,-0.3350,-0.2565,578
 RAW,10.250,1,990,984,1018,546,499,977,492.4,489.8,641.8,1
 RAW,10.375,0,456,513,60,456,513,242,483.3,495.6,541.9,0
 RAW,10.500,1,49,67,68,129,240,68,394.7,431.7,423.4,0
 RAW,10.625,0,981,797,1021,456,513,242,410.0,452.0,378.0,1
 RAW,10.750,1,873,857,752,873,797,752,525.8,538.3,471.5,0
 RAW,10.875,0,53,54,29,456,513,68,508.3,531.9,370.7,0
 RAW,11.000,1,531,496,943,531,496,752,514.0,523.0,466.0,0
 RAW,11.125,0,984,968,980,873,797,943,603.8,591.5,585.2,0
 PROC,11.125,0,89,69,1.2899,1.3376,1.0000,+0.00,+0.00,-0.2532,-0.2559,525
 RAW,11.250,1,71,242,39,531,496,752,585.6,567.6,626.9,0
 RAW,11.375,0,118,141,222,118,242,222,468.7,486.2,525.7,0
 PROC,11.375,0,117,81,1.4444,1.3590,1.0000,+0.00,+0.00,-0.3636,-0.2774,575
 RAW,11.500,1,988,984,1018,531,496,943,484.3,488.7,630.0,1
 RAW,11.625,0,473,527,72,473,527,222,481.4,498.2,528.0,0
 RAW,11.750,1,50,61,61,118,242,72,390.6,434.2,414.0,0
 RAW,11.875,0,982,796,1020,473,527,222,411.2,457.4,366.0,1
 RAW,12.000,1,874,864,764,874,796,764,526.9,542.0,465.5,0
 RAW,12.125,0,53,62,29,473,527,72,513.4,538.3,367.1,0
 RAW,12.250,1,522,481,938,522,481,764,515.6,524.0,466.3,0
 RAW,12.375,0,987,978,974,874,796,938,605.2,592.0,584.3,0
 PROC,12.375,0,90,68,1.3235,1.3519,1.0000,+0.00,+0.00,-0.2785,-0.2776,525
 RAW,12.500,1,95,267,38,522,481,764,584.4,564.2,629.2,0
 RAW,12.625,0,124,146,226,124,267,226,469.3,489.9,528.4,0
 PROC,12.625,0,115,75,1.5333,1.3882,1.0000,+0.00,+0.00,-0.4211,-0.3063,578
 RAW,12.750,1,988,976,1016,522,481,938,482.5,487.7,630.8,1
 RAW,12.875,0,479,535,89,479,535,226,481.6,499.5,529.6,0
 RAW,13.000,1,48,64,67,124,267,89,392.2,441.4,419.4,0
 RAW,13.125,0,977,770,1021,479,535,226,413.9,464.8,371.1,1
 RAW,13.250,1,870,861,756,870,770,756,527.9,541.1,467.3,0
 RAW,13.375,0,51,78,32,479,535,89,515.7,539.6,372.7,0
 RAW,13.500,1,510,466,913,510,466,756,514.3,521.2,468.6,0
 RAW,13.625,0,988,967,985,870,770,913,603.2,583.4,579.7,0
 PROC,13.625,0,89,62,1.4355,1.3976,1.0000,+0.00,+0.00,-0.3576,-0.3166,523
 RAW,13.750,1,167,320,41,510,466,756,579.9,554.0,623.7,0
 RAW,13.875,0,83,110,163,167,320,163,476.7,495.5,508.6,0
 PROC,13.875,0,103,59,1.7458,1.4673,1.0000,+0.00,+0.00,-0.5432,-0.3619,565
 RAW,14.000,1,988,978,1020,510,466,913,485.0,488.1,609.7,1
 RAW,14.125,0,573,617,258,573,617,258,507.0,520.4,521.8,0
 RAW,14.250,1,57,65,57,167,320,163,422.0,470.3,432.1,0
 RAW,14.375,0,929,757,1022,573,617,258,459.8,507.0,388.5,1
 RAW,14.500,1,923,911,846,923,757,846,575.6,569.5,502.9,0
 RAW,14.625,0,53,50,27,573,617,258,574.9,581.3,441.7,0
 RAW,14.750,1,441,411,764,441,411,764,541.4,538.8,522.3,0
 RAW,14.875,0,992,974,993,923,757,846,636.8,593.3,603.2,0
 PROC,14.875,0,95,55,1.7273,1.5193,1.0000,+0.00,+0.00,-0.5333,-0.3962,562
 RAW,15.000,1,142,273,38,441,411,764,587.9,547.7,643.4,0
 RAW,15.125,0,87,103,157,142,273,157,476.4,479.1,521.8,0
 PROC,15.125,0,111,68,1.6324,1.5419,1.0000,+0.00,+0.00,-0.4804,-0.4130,582
 RAW,15.250,1,987,986,1021,441,411,764,467.6,462.0,582.3,1
 RAW,15.375,0,560,604,260,560,604,260,490.7,497.5,501.8,0
 RAW,15.500,1,51,55,53,142,273,157,403.5,441.4,415.6,0
 RAW,15.625,0,931,778,1022,560,604,260,442.6,482.0,376.7,1
 PROC,15.625,0,39,41,0.9512,1.4237,1.0000,+0.00,+0.00,0.0500,-0.3204,395
 RAW,15.750,1,925,912,858,925,778,858,563.2,556.0,497.0,0
 RAW,15.875,0,52,51,23,560,604,260,562.4,568.0,437.8,0
 RAW,16.000,1,429,400,749,429,400,749,529.1,526.0,515.6,0
 RAW,16.125,0,996,975,994,925,778,858,628.0,589.0,601.2,0
 PROC,16.125,0,99,63,1.5714,1.4533,1.0000,+0.00,+0.00,-0.4444,-0.3452,558
 RAW,16.250,1,158,281,36,429,400,749,578.3,541.8,638.1,0
 RAW,16.375,0,85,102,153,158,281,153,473.2,476.6,516.8,0
 PROC,16.375,0,105,65,1.6154,1.4857,1.0000,+0.00,+0.00,-0.4706,-0.3703,577
 RAW,16.500,1,983,985,1021,429,400,749,462.2,457.4,574.9,1
 RAW,16.625,0,568,608,272,568,608,272,488.6,495.1,499.2,0
 RAW,16.750,1,51,59,54,158,281,153,406.0,441.6,412.6,0
